rank,symbol,name,price_usd,market_cap_usd,volume_24h,ingestion_timestamp
1,BTC,Bitcoin,87210.0,1740435690134,51348768381.0,2025-12-16 20:00:51
2,ETH,Ethereum,2951.9,356187679871,30261837296.0,2025-12-16 20:00:51
3,USDT,Tether,1.0,186313965636,89078304248.0,2025-12-16 20:00:51
4,BNB,BNB,868.02,119584809743,1934015236.0,2025-12-16 20:00:51
5,XRP,XRP,1.94,116919676809,3963523076.0,2025-12-16 20:00:51
6,USDC,USDC,1.0,78350487546,13350156876.0,2025-12-16 20:00:51
7,SOL,Solana,128.62,72287600935,5955634802.0,2025-12-16 20:00:51
8,TRX,TRON,0.280075,26513792913,668403519.0,2025-12-16 20:00:51
9,STETH,Lido Staked Ether,2950.92,25891788517,43375292.0,2025-12-16 20:00:51
10,DOGE,Dogecoin,0.131398,19984689317,1391882143.0,2025-12-16 20:00:51
11,FIGR_HELOC,Figure Heloc,1.031,14634010907,12111589.0,2025-12-16 20:00:51
12,ADA,Cardano,0.387192,14199645890,686455820.0,2025-12-16 20:00:51
13,WBT,WhiteBIT Coin,58.03,12435715067,93211000.0,2025-12-16 20:00:51
14,WSTETH,Wrapped stETH,3609.09,11408082380,63632823.0,2025-12-16 20:00:51
15,BCH,Bitcoin Cash,545.83,10895869842,357101908.0,2025-12-16 20:00:51
16,WBTC,Wrapped Bitcoin,87213.0,10890508445,279034909.0,2025-12-16 20:00:51
17,WBETH,Wrapped Beacon ETH,3205.16,10464867035,15221591.0,2025-12-16 20:00:51
18,USDS,USDS,1.0,9902755130,12600099.0,2025-12-16 20:00:51
19,LINK,Chainlink,12.92,9014558978,731771446.0,2025-12-16 20:00:51
20,BSC-USD,Binance Bridged USDT (BNB Smart Chain),0.999738,8987528796,1116891378.0,2025-12-16 20:00:51
21,WEETH,Wrapped eETH,3200.23,8727725461,20942500.0,2025-12-16 20:00:51
22,LEO,LEO Token,9.26,8539763102,516053.0,2025-12-16 20:00:51
23,XMR,Monero,415.72,7670294995,159015178.0,2025-12-16 20:00:51
24,WETH,WETH,2953.97,7657716748,164188490.0,2025-12-16 20:00:51
25,HYPE,Hyperliquid,27.28,7375163685,397641042.0,2025-12-16 20:00:51
26,XLM,Stellar,0.222893,7195813845,147089042.0,2025-12-16 20:00:51
27,USDE,Ethena USDe,0.998927,6461587884,102313205.0,2025-12-16 20:00:51
28,ZEC,Zcash,392.27,6460789364,987115659.0,2025-12-16 20:00:51
29,CBBTC,Coinbase Wrapped BTC,87223.0,6379213891,448025811.0,2025-12-16 20:00:51
30,LTC,Litecoin,78.84,6040414048,522136103.0,2025-12-16 20:00:51
31,SUI,Sui,1.5,5619259962,922615255.0,2025-12-16 20:00:51
32,AVAX,Avalanche,12.26,5275165092,422022133.0,2025-12-16 20:00:51
33,HBAR,Hedera,0.115838,4920574442,129365147.0,2025-12-16 20:00:51
