rank,symbol,name,price_usd,market_cap_usd,volume_24h,ingestion_timestamp
1,BTC,Bitcoin,87613.0,1749397108336,36015295080.0,2026-01-01 08:34:04
2,ETH,Ethereum,2977.62,359401553811,16382466316.0,2026-01-01 08:34:04
3,USDT,Tether,0.998556,186834718329,56096824328.0,2026-01-01 08:34:04
4,BNB,BNB,859.56,118398794720,1709501052.0,2026-01-01 08:34:04
5,XRP,XRP,1.84,111820624634,1967905774.0,2026-01-01 08:34:04
6,USDC,USDC,0.999784,75227630192,9459623690.0,2026-01-01 08:34:04
7,SOL,Solana,124.38,70048021429,3638059571.0,2026-01-01 08:34:04
8,TRX,TRON,0.284619,26949127361,409049430.0,2026-01-01 08:34:04
9,STETH,Lido Staked Ether,2975.95,26245504662,17372176.0,2026-01-01 08:34:04
10,DOGE,Dogecoin,0.118917,19990684789,1078876850.0,2026-01-01 08:34:04
11,FIGR_HELOC,Figure Heloc,1.028,14811347830,6589678.0,2026-01-01 08:34:04
12,ADA,Cardano,0.336874,12350249520,615066685.0,2026-01-01 08:34:04
13,WBT,WhiteBIT Coin,56.42,12076213708,53751628.0,2026-01-01 08:34:04
14,BCH,Bitcoin Cash,595.19,11888381534,237292517.0,2026-01-01 08:34:04
15,WSTETH,Wrapped stETH,3640.29,11629905828,19332569.0,2026-01-01 08:34:04
16,WBTC,Wrapped Bitcoin,87315.0,10911003419,101261240.0,2026-01-01 08:34:04
17,WBETH,Wrapped Beacon ETH,3235.53,10561704549,5201817.0,2026-01-01 08:34:04
18,WEETH,Wrapped eETH,3227.5,9179514317,4775874.0,2026-01-01 08:34:04
19,USDS,USDS,0.999611,9169908722,137387224.0,2026-01-01 08:34:04
20,BSC-USD,Binance Bridged USDT (BNB Smart Chain),0.998483,8970929255,852187017.0,2026-01-01 08:34:04
21,LEO,LEO Token,9.69,8927808812,1190251.0,2026-01-01 08:34:04
22,LINK,Chainlink,12.23,8656879330,316142607.0,2026-01-01 08:34:04
23,ZEC,Zcash,515.47,8504902532,702473333.0,2026-01-01 08:34:04
24,XMR,Monero,427.72,7886287254,59995546.0,2026-01-01 08:34:04
25,WETH,WETH,2975.58,7809380212,77927176.0,2026-01-01 08:34:04
26,CBBTC,Coinbase Wrapped BTC,87587.0,6617251439,181665338.0,2026-01-01 08:34:04
